PrimaryKey,Name,Hierarki,Innbyggere totalt,Type,Infrastruktur,Oppsummering (kort),Atmosfære,Rolle_ID,Rollup Tidslinje_ID,Kjente innbyggere_ID,Innbyggere tilknyttede steder,Tilknyttede steder,Rollup Karakterer_ID,Relasjoner_ID
STE-1,Palmstad,STE-1 -> STE-5 -> STE-29,350,Landsby,"Matbutikken, lørdagsmarked, Palmstad Kafé, skole, medisinsk senter, lite hotell, små butikker (3 etasjer max), sentrale hus, Nord-sør grusvei (~4 km), Øst-vest grusvei (~4 km)","Hovedtettsted på Palmøya med butikker, boliger og Tingstedet; livlig, tropisk atmosfære; øyas sentrale knutepunkt, Mia sykler ofte hit via Palm Kai fra Østsida (~5 km)","Livlig markedslukt, fakkelbelysning, folkemengder",N/A,"TID-31,TID-158","KAR-16,KAR-9,KAR-23,KAR-12",,"STE-8,STE-22,STE-30,STE-36","KAR-1,KAR-5,KAR-4,KAR-31",
STE-2,Palm Kai,STE-2 -> STE-5 -> STE-29,30,Bygd,"Fergekai, sykkelstativ, hester og vogner for varer, spredte hus og hytter langs grussti, lite fryselager for fiskeeksport, Ringveien (~12 km), Nord-sør grusvei (~4 km)","Mini bygd ved fergekaia, satellitt til Sørstrand, knutepunkt for fergen til fastlandet, ukentlig ankomst (onsdag kl. 9) og avgang (onsdag kl. 10), varer og fiskeeksport; livlig ved ankomst","Saltvannslukt, hestehovslag, bølgeskvulp",N/A,"TID-1,TID-2,TID-4,TID-8,TID-41,TID-176",KAR-17,,STE-37,"KAR-4,KAR-1,KAR-22",
STE-3,Sørstrand,STE-3 -> STE-5 -> STE-29,130,Bygd,"Grusvei, strand, Marius’ hytte, Marius’ tomt under bygging, norrøn offerplass","Kystbygd med strand og hytter, hjem til Marius’ nye hus, avslappet atmosfære","Strandbølger, palmesus, norrøn mystikk",N/A,"TID-20,TID-31,TID-169","KAR-2,KAR-11,KAR-10,KAR-24,KAR-27",KAR-4,"STE-7,STE-19,STE-31,STE-32","KAR-22,KAR-1,KAR-4,KAR-10,KAR-2,KAR-6",
STE-4,Østsida,STE-4 -> STE-5 -> STE-29,220,Tettsted,"Strandhus, små fiskebåter, grusveier, liten stavkirke fra 1000-tallet med norrøne ornamenter","Tettsted i øst, hjem til Mia’s familie, fiskebasert livsstil","Fiskelukt, knirkende trehus, måkeskrik",N/A,,"KAR-15,KAR-5","KAR-1,KAR-6,KAR-22","STE-6,STE-20,STE-33","KAR-1,KAR-6,KAR-5,KAR-22",
STE-5,Palmøya,STE-5 -> STE-29,800,Øy,"Fergeforbindelse, grusveier, fiskebanker, tropisk vegetasjon","Tropisk øy med 800 innbyggere, blander norrøne og moderne tradisjoner","Tropisk blomsterduft, bølgesus, norrøn ånd",N/A,"TID-7,TID-159",,"KAR-17,,KAR-2,KAR-11,KAR-10,KAR-24,KAR-27,KAR-4,KAR-16,KAR-9,KAR-23,KAR-12,,KAR-15,KAR-5,KAR-1,KAR-6,KAR-22,KAR-14,KAR-13,,KAR-31,KAR-28","STE-2,STE-3,STE-1,STE-4,STE-12,STE-13,STE-14,STE-15,STE-16,STE-17",,
STE-6,Mia’s hjem,STE-6 -> STE-4 -> STE-5 -> STE-29,0,Strandhus,"Lite trehus med hage, sykkelsti, nær Østsida strand. Inneholder en smal, knirkende tretrapp til Mias rom, en koselig gang med lyst treverk, håndmalte bilder av Østsida-stranda, en norrøn runeramme, og et slitt, fargerikt teppe. Stua har et rustikt trebord, levende lys, en bokhylle med bøker om fiske og norrøn historie, og strikkede tepper over en slitt sofa. Kjøkkenet er lite, lyst, med hvite trevegger, urtekrukker, hjemmelaget syltetøy, og duft av kaffe og sjokolade.","Mia’s familiehjem, enkelt og koselig","Hjemmekoselig varme, duft av nybakt brød, sjøbris, lavendel fra tørkede blomster, og en blanding av tropisk sjarm og familiens personlige preg.” [Bekreftet fra forrige melding, ingen nye endringer nødvendig.",KAR-1 (Beboer),"TID-18,TID-26,TID-27,TID-28,TID-29,TID-35,TID-171","KAR-1,KAR-6,KAR-22",,,"KAR-22,KAR-5,KAR-6,KAR-1,KAR-7","REL-40,REL-41"
STE-7,Leie hytte,STE-7 -> STE-3 -> STE-5 -> STE-29,0,Hytte,"Liten hytte nær stranden i Sørstrand. Inneholder et koselig soverom med bred seng, blått teppe, og åpent vindu mot vika. Kjøkkenet har trevegger, en kurv med tropisk frukt, norrøne runer risset i en trehylle, og duft av havbris. Stua har en komfortabel sofa og et bord.",Marius’ midlertidige hjem i Sørstrand,"Havbris, strandatmosfære, varm glød fra lamper, og en intim, koselig stemning med norrøne detaljer.",KAR-4 (Leieboer),"TID-3,TID-4,TID-6,TID-7,TID-9,TID-10,TID-11,TID-12,TID-21,TID-22,TID-23,TID-24,TID-25,TID-32,TID-33,TID-36,TID-37,TID-38,TID-39,TID-40,TID-20,TID-170,TID-174,TID-175,TID-177,TID-182,TID-183,TID-184,TID-185",KAR-4,,,"KAR-1,KAR-2,KAR-10,KAR-4","REL-4,REL-12,REL-33"
STE-8,Matbutikken,STE-8 -> STE-1 -> STE-5 -> STE-29,0,Butikk,"Liten butikk med dagligvarer, kasse der Mia jobber, sentralt i Palmstad","Hovedbutikk i Palmstad, senter for sosial kontakt, Matbutikken er øyas sladderhub, hvor Mia (KAR-1) ofte hører rykter om kjærlighetsdrama eller kommende Ting-møter.","Fruktduft, klingende kasse, folkemumling","KAR-5 (Eier),KAR-1 (Medarbeider),KAR-2 (Deltid)","TID-5,TID-17,TID-19,TID-30,TID-34,TID-170,TID-180",,,,"KAR-4,KAR-1,KAR-5,KAR-9",
STE-9,Halden,STE-9 -> STE-28 -> STE-29,32000,By fastland,"Fergekai, garasjeanlegg, E6 til Oslo","Ankomstby for fergen fra Palmøya, overgang til fastlandet","Havnelukt, biltrafikk, fergehorn",N/A,"TID-44,TID-45,TID-43,TID-164",,,,"KAR-1,KAR-4",
STE-10,Holmenkollveien 125,STE-10 -> STE-27 -> STE-28 -> STE-29,0,Hus,"Moderne hus med oppkjørsel, garasje, stue, bibliotek, badstue, Nira AI-system","Marius’ tidligere hjem i Oslo, solgt for 65 mill.","Moderne luksus, Nira’s hologramglød",N/A,"TID-50,TID-47,TID-48,TID-49,TID-51,TID-52,TID-162,TID-163,TID-161,TID-164",KAR-26,,,"KAR-4,KAR-1,KAR-26,KAR-20","REL-8,REL-18,REL-38"
